Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
7435,1.39533468,103.9114339,203.4181905,122.0154358,172A EDGEDALE PLAINS,821172,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT A,34.14187194,40.05962434,1.865118311,83.29158203,31.17385824
7436,1.395397332,103.910034,207.0815054,151.8185757,110C PUNGGOL FIELD,823110,MERIDIAN LRT STATION,MERDIAN STN EXIT A,33.7470509,39.5845305,1.94494343,76.15793681,33.00408127
7437,1.395398588,103.898745,218.7964691,143.2351581,292B COMPASSVALE ST,542292,COMPASSVALE LRT STATION,BLK 291A,34.59042474,42.04144131,3.306937044,117.1630196,46.5311166
7438,1.395401884,103.9033976,338.3849486,131.6965027,189C RIVERVALE DR,543189,COMPASSVALE LRT STATION,BLK 190C,33.30708561,39.10813538,2.620246087,93.29350457,37.68770922
7439,1.395405265,103.7454229,323.473786,25.57077212,564 CHOA CHU KANG ST 52,680564,YEW TEE MRT STATION,BLK 563,21.08420652,35.49731345,0.509597003,6.519085248,24.64476113
7440,1.39541568,103.9069122,281.0874841,164.1757977,116 EDGEFIELD PLAINS,820116,MERIDIAN LRT STATION,BEF PUNGGOL RD,32.92481685,39.88737944,2.111046787,76.50132008,35.67119388
7441,1.395444577,103.9124654,171.2049566,116.7824857,172C EDGEDALE PLAINS,823172,CORAL EDGE LRT STATION,CORAL EDGE STN EXIT B,35.01116986,42.80517903,1.814416905,93.78137773,31.9169313
7442,1.395500602,103.9140598,241.53781,150.7405369,163A PUNGGOL CTRL,821163,CORAL EDGE LRT STATION,BLK 162B,26.59496705,38.83043743,1.730481795,81.19064796,24.88427396
7443,1.395509378,103.7447329,372.7884102,63.71270485,558 CHOA CHU KANG NTH 6,680558,YEW TEE MRT STATION,BLK 560,21.43814255,33.55617873,0.491235919,6.121541445,23.18748522
7444,1.395521675,103.902214,222.9466016,62.70655013,298B COMPASSVALE ST,542298,COMPASSVALE LRT STATION,BLK 190C,33.52444865,38.79555492,2.699733959,100.585819,38.5733064
7445,1.395529913,103.9088596,154.0167232,113.7922925,109D EDGEDALE PLAINS,824109,MERIDIAN LRT STATION,MERDIAN STN EXIT A,39.18146939,43.57337803,2.016417817,74.37879255,40.18278668
7446,1.395541397,103.8949406,151.1871789,117.1476566,262A COMPASSVALE ST,541262,CHENG LIM LRT STATION,OPP SENGKANG GENERAL HOSP,29.28200542,47.97996456,3.858926105,141.4490313,37.73593344
7447,1.395561208,103.9040217,409.9035991,164.0567482,189A RIVERVALE DR,541189,COMPASSVALE LRT STATION,AFT PUNGGOL RD,33.21099711,39.20830085,2.261692074,89.98159054,37.23048006
7448,1.395564355,103.7499871,361.1046108,94.53965181,791 CHOA CHU KANG NTH 6,680791,YEW TEE MRT STATION,BLK 790,23.15381118,29.73407304,0.647941432,6.864926683,26.98905457
7449,1.39556991,103.7443328,405.4447597,105.5119148,557 CHOA CHU KANG NTH 6,680557,YEW TEE MRT STATION,BLK 560,22.06503547,32.42454253,0.481148393,6.079692306,22.44356309
7450,1.395577911,103.8897737,184.566826,154.5958792,331C ANCHORVALE ST,543331,FARMWAY LRT STATION,FARMWAY STN EXIT B,44.31929037,46.60165033,7.418052881,128.3490984,38.28804233
7451,1.395616235,103.8979418,309.8233794,55.90643881,291A COMPASSVALE ST,541291,COMPASSVALE LRT STATION,BLK 291A,31.81577972,43.36720754,3.395645636,122.8850671,45.28240137
7452,1.39563022,103.9137722,232.721243,155.6640229,163B PUNGGOL CTRL,822163,CORAL EDGE LRT STATION,BLK 162B,28.24983018,39.6056489,1.751934561,83.51775073,26.14759289
7453,1.395646924,103.8886333,185.0992262,115.6288806,327B ANCHORVALE RD,542327,FARMWAY LRT STATION,BLK 326D,34.85611137,46.06462261,9.30534539,127.8936882,40.33242681
7454,1.395660239,103.909627,158.2254091,102.9931479,110B PUNGGOL FIELD,822110,MERIDIAN LRT STATION,MERDIAN STN EXIT A,34.66500758,42.01949586,1.982814818,74.55217898,34.23573779
7455,1.395669184,103.7457261,279.0693518,41.09002449,563 CHOA CHU KANG ST 52,680563,YEW TEE MRT STATION,BLK 563,20.7575514,37.93965666,0.513674425,6.427399575,24.62760731
